,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,education/2023/jun/02/parents-survey-mental-health-support-students-universities,article,education,Education,2023-06-02T05:00:06Z,Parents outline ‘woeful’ mental health support for students at UK universities,https://www.theguardian.com/education/2023/jun/02/parents-survey-mental-health-support-students-universities,https://content.guardianapis.com/education/2023/jun/02/parents-survey-mental-health-support-students-universities,False,pillar/news,News
1,1.0,1.0,1.0,0.0,,,,,,education/2023/jun/04/manchester-university-students-face-expulsion-over-rent-strike-protest,article,education,Education,2023-06-04T11:33:31Z,Manchester University students face expulsion over rent strike protest,https://www.theguardian.com/education/2023/jun/04/manchester-university-students-face-expulsion-over-rent-strike-protest,https://content.guardianapis.com/education/2023/jun/04/manchester-university-students-face-expulsion-over-rent-strike-protest,False,pillar/news,News
2,2.0,2.0,2.0,1.0,,,,,,education/2023/jun/04/disabled-children-disproportionately-affected-uk-cost-of-living-crisis,article,education,Education,2023-06-04T10:00:11Z,Disabled children disproportionately affected by UK cost of living crisis,https://www.theguardian.com/education/2023/jun/04/disabled-children-disproportionately-affected-uk-cost-of-living-crisis,https://content.guardianapis.com/education/2023/jun/04/disabled-children-disproportionately-affected-uk-cost-of-living-crisis,False,pillar/news,News
3,3.0,3.0,0.0,,,,,,,education/2023/jun/04/brucey-and-caesar-can-help-children-improve-oracy-says-classic-professor,article,education,Education,2023-06-04T16:42:13Z,"Nice to teach you: Brucie can help boost children’s speech, says classics professor",https://www.theguardian.com/education/2023/jun/04/brucey-and-caesar-can-help-children-improve-oracy-says-classic-professor,https://content.guardianapis.com/education/2023/jun/04/brucey-and-caesar-can-help-children-improve-oracy-says-classic-professor,False,pillar/news,News
4,4.0,0.0,,,,,,,,education/2023/jun/05/how-britain-was-shaped-by-the-roads-not-taken,article,education,Education,2023-06-05T16:09:55Z,How Britain was shaped by the roads not taken | Letters,https://www.theguardian.com/education/2023/jun/05/how-britain-was-shaped-by-the-roads-not-taken,https://content.guardianapis.com/education/2023/jun/05/how-britain-was-shaped-by-the-roads-not-taken,False,pillar/news,News
5,5.0,1.0,,,,,,,,education/2023/jun/05/brian-howes-obituary,article,education,Education,2023-06-05T16:08:36Z,Brian Howes obituary,https://www.theguardian.com/education/2023/jun/05/brian-howes-obituary,https://content.guardianapis.com/education/2023/jun/05/brian-howes-obituary,False,pillar/news,News
6,6.0,2.0,,,,,,,,education/2023/jun/05/matt-cook-oxford-university-appoints-uk-first-professor-of-lgbtq-history,article,education,Education,2023-06-05T15:40:19Z,Oxford University appoints UK’s first professor of LGBTQ+ history,https://www.theguardian.com/education/2023/jun/05/matt-cook-oxford-university-appoints-uk-first-professor-of-lgbtq-history,https://content.guardianapis.com/education/2023/jun/05/matt-cook-oxford-university-appoints-uk-first-professor-of-lgbtq-history,False,pillar/news,News
7,0.0,,,,,,,,,education/2023/jun/05/universities-accused-of-hiding-student-suicide-attempts-behind-gdpr,article,education,Education,2023-06-05T18:53:52Z,Universities accused of hiding student suicide attempts behind GDPR,https://www.theguardian.com/education/2023/jun/05/universities-accused-of-hiding-student-suicide-attempts-behind-gdpr,https://content.guardianapis.com/education/2023/jun/05/universities-accused-of-hiding-student-suicide-attempts-behind-gdpr,False,pillar/news,News
8,1.0,,,,,,,,,education/2023/jun/05/recorder-fans-warn-instrument-heading-for-extinction-pandemic-decline-young-people,article,education,Education,2023-06-05T17:18:20Z,Clarion call: recorder fans warn instrument heading for extinction,https://www.theguardian.com/education/2023/jun/05/recorder-fans-warn-instrument-heading-for-extinction-pandemic-decline-young-people,https://content.guardianapis.com/education/2023/jun/05/recorder-fans-warn-instrument-heading-for-extinction-pandemic-decline-young-people,False,pillar/news,News
0,,,,,,,,,,education/2023/jun/06/letters-colin-rochester-obituary,article,education,Education,2023-06-06T15:28:25Z,Letters: Colin Rochester obituary,https://www.theguardian.com/education/2023/jun/06/letters-colin-rochester-obituary,https://content.guardianapis.com/education/2023/jun/06/letters-colin-rochester-obituary,False,pillar/news,News
